XGCSWGS84,YGCSWGS84,Cluster_DBSCAN,geometry
13.4750178,52.51359681,0,POINT (13.4750178 52.51359681)
13.29102205,52.58725906,0,POINT (13.29102205 52.58725906)
13.42057818,52.52601854,0,POINT (13.42057818 52.52601854)
13.34828776,52.48184447,0,POINT (13.34828776 52.48184447)
13.40322797,52.58347154,0,POINT (13.40322797 52.58347154)
13.54844656,52.5510946,0,POINT (13.54844656 52.5510946)
13.25639043,52.48571541,0,POINT (13.25639043 52.48571541)
13.42725182,52.63382261,0,POINT (13.42725182 52.63382261)
13.41142938,52.51893299,0,POINT (13.41142938 52.51893299)
13.35020475,52.57388905,0,POINT (13.35020475 52.57388905)
13.41842748,52.52360287,0,POINT (13.41842748 52.52360287)
13.37773011,52.47010259,0,POINT (13.37773011 52.47010259)
13.43218628,52.53525526,0,POINT (13.43218628 52.53525526)
13.47089659,52.51417313,0,POINT (13.47089659 52.51417313)
13.39467345,52.51084845,0,POINT (13.39467345 52.51084845)
13.44458831,52.54560285,0,POINT (13.44458831 52.54560285)
13.50637217,52.45899296,0,POINT (13.50637217 52.45899296)
13.17815056,52.51609207,0,POINT (13.17815056 52.51609207)
13.37743615,52.47011861,0,POINT (13.37743615 52.47011861)
13.44855444,52.50495533,0,POINT (13.44855444 52.50495533)
13.3730303,52.5159128,0,POINT (13.3730303 52.5159128)
13.28410402,52.5970472,0,POINT (13.28410402 52.5970472)
13.37924233,52.43630206,0,POINT (13.37924233 52.43630206)
13.41247778,52.54097318,0,POINT (13.41247778 52.54097318)
13.42998793,52.55367547,0,POINT (13.42998793 52.55367547)
13.38449562,52.45312998,0,POINT (13.38449562 52.45312998)
13.41364244,52.54813473,0,POINT (13.41364244 52.54813473)
13.41857706,52.5237397,0,POINT (13.41857706 52.5237397)
13.36833544,52.54111108,0,POINT (13.36833544 52.54111108)
13.41162064,52.51893645,0,POINT (13.41162064 52.51893645)
13.41121885,52.51878227,0,POINT (13.41121885 52.51878227)
13.31641633,52.61708257,0,POINT (13.31641633 52.61708257)
13.28887346,52.53276686,0,POINT (13.28887346 52.53276686)
13.41769328,52.52344572,0,POINT (13.41769328 52.52344572)
13.30039993,52.51108677,0,POINT (13.30039993 52.51108677)
13.43353746,52.53611592,0,POINT (13.43353746 52.53611592)
13.45367006,52.51883086,0,POINT (13.45367006 52.51883086)
13.29842668,52.54686536,0,POINT (13.29842668 52.54686536)
13.43652747,52.51764211,0,POINT (13.43652747 52.51764211)
13.35718628,52.48690005,0,POINT (13.35718628 52.48690005)
13.42790784,52.56817242,0,POINT (13.42790784 52.56817242)
13.38676944,52.46998979,0,POINT (13.38676944 52.46998979)
13.44566793,52.59762124,0,POINT (13.44566793 52.59762124)
13.41358859,52.55858737,0,POINT (13.41358859 52.55858737)
13.42850921,52.53209046,0,POINT (13.42850921 52.53209046)
13.28328727,52.49709232,0,POINT (13.28328727 52.49709232)
13.30229234,52.64245276,0,POINT (13.30229234 52.64245276)
13.38761144,52.43899811,0,POINT (13.38761144 52.43899811)
13.35323275,52.47970452,0,POINT (13.35323275 52.47970452)
13.37594587,52.42985299,0,POINT (13.37594587 52.42985299)
13.43348954,52.53584246,0,POINT (13.43348954 52.53584246)
13.41771871,52.52346813,0,POINT (13.41771871 52.52346813)
13.28145524,52.49885011,0,POINT (13.28145524 52.49885011)
13.28857229,52.49420221,0,POINT (13.28857229 52.49420221)
13.28877063,52.53274473,0,POINT (13.28877063 52.53274473)
13.31739335,52.45403539,0,POINT (13.31739335 52.45403539)
13.28223853,52.49776429,0,POINT (13.28223853 52.49776429)
13.46025955,52.51509809,0,POINT (13.46025955 52.51509809)
13.39103313,52.43207457,0,POINT (13.39103313 52.43207457)
13.3814641,52.50983334,0,POINT (13.3814641 52.50983334)
13.28278069,52.52871325,0,POINT (13.28278069 52.52871325)
13.38491553,52.44984708,0,POINT (13.38491553 52.44984708)
13.43395303,52.53716546,0,POINT (13.43395303 52.53716546)
13.28361836,52.51740341,0,POINT (13.28361836 52.51740341)
13.35225844,52.48004673,0,POINT (13.35225844 52.48004673)
13.56261332,52.56705917,0,POINT (13.56261332 52.56705917)
13.38025961,52.43769417,0,POINT (13.38025961 52.43769417)
13.36534305,52.47302409,0,POINT (13.36534305 52.47302409)
13.31120027,52.45203552,0,POINT (13.31120027 52.45203552)
13.57994696,52.505079,0,POINT (13.57994696 52.505079)
13.51090542,52.45581365,0,POINT (13.51090542 52.45581365)
13.31132041,52.62762084,0,POINT (13.31132041 52.62762084)
13.38580817,52.48226095,0,POINT (13.38580817 52.48226095)
13.46759778,52.51435211,0,POINT (13.46759778 52.51435211)
13.41085944,52.51854444,0,POINT (13.41085944 52.51854444)
13.56203103,52.50843719,0,POINT (13.56203103 52.50843719)
13.38574109,52.46947297,0,POINT (13.38574109 52.46947297)
13.37472125,52.50926632,0,POINT (13.37472125 52.50926632)
13.45780719,52.49162011,0,POINT (13.45780719 52.49162011)
13.47349649,52.51376294,0,POINT (13.47349649 52.51376294)
13.34550162,52.58081839,0,POINT (13.34550162 52.58081839)
13.21469962,52.42753172,0,POINT (13.21469962 52.42753172)
13.41593143,52.52219952,0,POINT (13.41593143 52.52219952)
13.35213303,52.48010314,0,POINT (13.35213303 52.48010314)
13.39462387,52.51731745,0,POINT (13.39462387 52.51731745)
13.42904261,52.51842753,0,POINT (13.42904261 52.51842753)
13.46511441,52.51475407,0,POINT (13.46511441 52.51475407)
13.43890139,52.6184162,0,POINT (13.43890139 52.6184162)
13.55628531,52.50882799,0,POINT (13.55628531 52.50882799)
13.38751112,52.43898116,0,POINT (13.38751112 52.43898116)
13.15736973,52.41925252,0,POINT (13.15736973 52.41925252)
13.38726562,52.44016438,0,POINT (13.38726562 52.44016438)
13.28861273,52.49407904,0,POINT (13.28861273 52.49407904)
13.37594916,52.42986014,0,POINT (13.37594916 52.42986014)
13.4534913,52.51502475,0,POINT (13.4534913 52.51502475)
13.36525867,52.55807966,0,POINT (13.36525867 52.55807966)
13.43245097,52.62253125,0,POINT (13.43245097 52.62253125)
13.44729412,52.50259525,0,POINT (13.44729412 52.50259525)
13.44230639,52.61537872,0,POINT (13.44230639 52.61537872)
13.30214736,52.48661056,0,POINT (13.30214736 52.48661056)
13.33058211,52.60122543,1,POINT (13.33058211 52.60122543)
13.44717465,52.54678012,1,POINT (13.44717465 52.54678012)
13.36069776,52.49088684,1,POINT (13.36069776 52.49088684)
13.36178399,52.41364202,1,POINT (13.36178399 52.41364202)
13.4679036,52.51432187,1,POINT (13.4679036 52.51432187)
13.36447875,52.5622443,1,POINT (13.36447875 52.5622443)
13.45378434,52.5157643,1,POINT (13.45378434 52.5157643)
13.39456752,52.46733793,1,POINT (13.39456752 52.46733793)
13.36550149,52.55797126,1,POINT (13.36550149 52.55797126)
13.38654429,52.44208694,1,POINT (13.38654429 52.44208694)
13.36458779,52.56162367,1,POINT (13.36458779 52.56162367)
13.58616073,52.50502846,1,POINT (13.58616073 52.50502846)
13.27147604,52.4382703,1,POINT (13.27147604 52.4382703)
13.5893595,52.50498403,1,POINT (13.5893595 52.50498403)
13.44679225,52.51660582,1,POINT (13.44679225 52.51660582)
13.43240248,52.46217858,1,POINT (13.43240248 52.46217858)
13.36501121,52.56054059,1,POINT (13.36501121 52.56054059)
13.4898835,52.46998778,1,POINT (13.4898835 52.46998778)
13.40514725,52.52007606,1,POINT (13.40514725 52.52007606)
13.36802711,52.50574015,1,POINT (13.36802711 52.50574015)
13.45341896,52.5181094,1,POINT (13.45341896 52.5181094)
13.41196655,52.54104049,1,POINT (13.41196655 52.54104049)
13.44859924,52.50502827,1,POINT (13.44859924 52.50502827)
13.36178646,52.41364489,1,POINT (13.36178646 52.41364489)
13.45378434,52.5157643,1,POINT (13.45378434 52.5157643)
13.40120994,52.46504192,1,POINT (13.40120994 52.46504192)
13.38601313,52.44396831,1,POINT (13.38601313 52.44396831)
13.15269333,52.41885022,1,POINT (13.15269333 52.41885022)
13.40471687,52.5678022,1,POINT (13.40471687 52.5678022)
13.41151669,52.51865143,1,POINT (13.41151669 52.51865143)
13.45492201,52.46240091,1,POINT (13.45492201 52.46240091)
13.45895361,52.49085826,1,POINT (13.45895361 52.49085826)
13.40709308,52.46191667,1,POINT (13.40709308 52.46191667)
13.48752583,52.51248961,1,POINT (13.48752583 52.51248961)
13.43630979,52.62002078,1,POINT (13.43630979 52.62002078)
13.42428982,52.53927808,1,POINT (13.42428982 52.53927808)
13.42273301,52.52023483,1,POINT (13.42273301 52.52023483)
13.37346464,52.50916562,1,POINT (13.37346464 52.50916562)
13.26581496,52.50896847,1,POINT (13.26581496 52.50896847)
13.28066465,52.50175346,1,POINT (13.28066465 52.50175346)
13.3919909,52.46860645,1,POINT (13.3919909 52.46860645)
13.38780284,52.49329165,1,POINT (13.38780284 52.49329165)
13.44865466,52.5051185,1,POINT (13.44865466 52.5051185)
13.29351933,52.49240641,1,POINT (13.29351933 52.49240641)
13.38551442,52.4700919,1,POINT (13.38551442 52.4700919)
13.28145445,52.50453704,1,POINT (13.28145445 52.50453704)
13.40293075,52.46393491,1,POINT (13.40293075 52.46393491)
13.48810864,52.51242968,1,POINT (13.48810864 52.51242968)
13.39110836,52.43193989,1,POINT (13.39110836 52.43193989)
13.36472555,52.56209019,1,POINT (13.36472555 52.56209019)
13.41197365,52.54113816,1,POINT (13.41197365 52.54113816)
13.36531297,52.47303791,1,POINT (13.36531297 52.47303791)
13.42308629,52.52752742,1,POINT (13.42308629 52.52752742)
13.19129987,52.51418553,1,POINT (13.19129987 52.51418553)
13.36884623,52.54119318,1,POINT (13.36884623 52.54119318)
13.38571487,52.46818781,1,POINT (13.38571487 52.46818781)
13.28167519,52.52168876,1,POINT (13.28167519 52.52168876)
13.41356905,52.55860859,1,POINT (13.41356905 52.55860859)
13.55429795,52.55756529,1,POINT (13.55429795 52.55756529)
13.36022075,52.57180971,1,POINT (13.36022075 52.57180971)
13.31386613,52.51215835,1,POINT (13.31386613 52.51215835)
13.39822143,52.57101301,1,POINT (13.39822143 52.57101301)
13.38914389,52.49799442,1,POINT (13.38914389 52.49799442)
13.30065802,52.48743993,1,POINT (13.30065802 52.48743993)
13.27108131,52.50927745,1,POINT (13.27108131 52.50927745)
13.17081467,52.4207945,1,POINT (13.17081467 52.4207945)
13.46673423,52.55930623,1,POINT (13.46673423 52.55930623)
13.14662831,52.49389638,1,POINT (13.14662831 52.49389638)
13.28601312,52.51093714,1,POINT (13.28601312 52.51093714)
13.46188262,52.51507451,1,POINT (13.46188262 52.51507451)
13.36440379,52.5015952,1,POINT (13.36440379 52.5015952)
13.43220014,52.53526723,1,POINT (13.43220014 52.53526723)
13.35963316,52.48957961,1,POINT (13.35963316 52.48957961)
13.45616516,52.46460634,1,POINT (13.45616516 52.46460634)
13.34019406,52.5137587,1,POINT (13.34019406 52.5137587)
13.4765842,52.5134504,1,POINT (13.4765842 52.5134504)
13.41410612,52.5507491,1,POINT (13.41410612 52.5507491)
13.4134615,52.54907073,1,POINT (13.4134615 52.54907073)
13.44850875,52.50488094,1,POINT (13.44850875 52.50488094)
13.27320485,52.49879762,1,POINT (13.27320485 52.49879762)
13.610454,52.50479012,1,POINT (13.610454 52.50479012)
13.45374027,52.51593863,1,POINT (13.45374027 52.51593863)
13.38256278,52.43938741,1,POINT (13.38256278 52.43938741)
13.41218735,52.46101446,1,POINT (13.41218735 52.46101446)
13.43695649,52.53973604,1,POINT (13.43695649 52.53973604)
13.55342162,52.50934489,1,POINT (13.55342162 52.50934489)
13.39888867,52.41887536,1,POINT (13.39888867 52.41887536)
13.44826525,52.54721871,1,POINT (13.44826525 52.54721871)
13.3539025,52.48507585,1,POINT (13.3539025 52.48507585)
13.43779876,52.53406219,1,POINT (13.43779876 52.53406219)
13.28191589,52.50619146,1,POINT (13.28191589 52.50619146)
13.4772856,52.51338354,1,POINT (13.4772856 52.51338354)
13.38037403,52.43782349,1,POINT (13.38037403 52.43782349)
13.49696182,52.43459822,1,POINT (13.49696182 52.43459822)
13.36729936,52.55178826,1,POINT (13.36729936 52.55178826)
13.43933198,52.51720857,1,POINT (13.43933198 52.51720857)
13.43094176,52.518084,1,POINT (13.43094176 52.518084)
13.36438027,52.5638701,1,POINT (13.36438027 52.5638701)
13.47742678,52.5135153,1,POINT (13.47742678 52.5135153)
13.44796075,52.50240978,1,POINT (13.44796075 52.50240978)
13.37850496,52.50963693,1,POINT (13.37850496 52.50963693)
13.28185624,52.5099301,1,POINT (13.28185624 52.5099301)
13.28105941,52.49900142,1,POINT (13.28105941 52.49900142)
13.46740703,52.51437131,1,POINT (13.46740703 52.51437131)
13.39724929,52.51086976,1,POINT (13.39724929 52.51086976)
13.39835408,52.57105112,1,POINT (13.39835408 52.57105112)
13.46506183,52.51475935,1,POINT (13.46506183 52.51475935)
13.40145701,52.58052142,1,POINT (13.40145701 52.58052142)
13.37057247,52.5399748,1,POINT (13.37057247 52.5399748)
