BEZ,Cluster,UJAHR,UMONAT,UWOCHENTAG,USTUNDE,USTRZUSTAND,UKATEGORIE,ULICHTVERH,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,Anzahl_Unfälle
1,0,2019,6,Mi,13.5,0,Leichtverletzte,Tageslicht,0,5,0.6,0.6,0.0,0.2,0.0,0.2,1996
1,1,2019,9,Di,13.7,0,Leichtverletzte,Tageslicht,5,2,0.6,0.9,0.0,0.1,0.0,0.1,3151
1,2,2019,10,Do,14.3,0,Leichtverletzte,Tageslicht,6,4,0.2,0.6,1.0,0.0,0.0,0.1,1012
1,3,2019,9,Di,13.8,0,Leichtverletzte,Tageslicht,2,6,0.3,0.9,0.0,0.2,0.0,0.1,1941
2,0,2019,6,Di,13.5,0,Leichtverletzte,Tageslicht,0,6,0.5,0.7,0.0,0.2,0.0,0.2,2272
2,1,2019,6,Mi,13.6,0,Leichtverletzte,Tageslicht,5,3,0.7,0.8,0.0,0.1,0.0,0.1,2117
2,2,2019,1,Do,14.3,0,Leichtverletzte,Tageslicht,6,4,0.3,0.6,1.0,0.1,0.0,0.1,643
3,0,2019,6,Mi,13.2,0,Leichtverletzte,Tageslicht,2,6,0.4,0.7,0.0,0.2,0.0,0.2,2149
3,1,2019,6,Mi,13.1,0,Leichtverletzte,Tageslicht,5,3,0.6,0.9,0.0,0.1,0.0,0.1,1867
3,2,2019,1,Do,13.3,0,Leichtverletzte,Tageslicht,6,4,0.2,0.6,1.0,0.0,0.0,0.1,573
4,0,2019,6,Di,13.1,0,Leichtverletzte,Tageslicht,5,2,0.5,0.8,0.0,0.2,0.0,0.1,2089
4,1,2019,10,Mi,12.8,1,Leichtverletzte,Tageslicht,2,6,0.3,0.8,0.0,0.2,0.0,0.1,838
4,2,2019,6,Di,13.1,0,Leichtverletzte,Tageslicht,2,6,0.2,0.9,0.0,0.2,0.1,0.1,1198
4,3,2019,1,Di,14.4,0,Leichtverletzte,Tageslicht,6,4,0.2,0.7,1.0,0.0,0.0,0.1,730
4,4,2019,10,Fr,15.7,0,Leichtverletzte,Dunkelheit,5,6,0.2,0.9,0.0,0.1,0.0,0.1,907
4,5,2019,6,Mi,13.5,0,Leichtverletzte,Tageslicht,1,5,0.7,0.9,0.0,0.1,0.0,0.2,454
5,0,2019,10,Di,13.5,0,Leichtverletzte,Tageslicht,5,2,0.3,0.8,0.0,0.2,0.0,0.2,1154
5,1,2019,8,Mi,12.9,0,Leichtverletzte,Tageslicht,5,2,0.4,0.9,0.0,0.2,0.0,0.1,682
5,2,2019,1,Do,13.6,0,Leichtverletzte,Tageslicht,6,4,0.1,0.8,1.0,0.0,0.0,0.1,435
5,3,2019,9,Di,13.3,0,Leichtverletzte,Tageslicht,2,6,0.1,0.9,0.0,0.2,0.1,0.2,765
6,0,2019,11,Mi,14.0,1,Leichtverletzte,Tageslicht,5,3,0.3,0.8,0.0,0.2,0.0,0.1,839
6,1,2019,6,Mi,12.8,0,Leichtverletzte,Tageslicht,5,3,0.6,0.9,0.0,0.1,0.0,0.1,833
6,2,2019,1,Di,14.0,0,Leichtverletzte,Tageslicht,6,4,0.2,0.7,1.0,0.0,0.0,0.1,437
6,3,2019,6,Mi,13.2,0,Leichtverletzte,Tageslicht,0,5,0.5,0.7,0.0,0.2,0.0,0.2,807
6,4,2019,9,Do,13.8,0,Leichtverletzte,Tageslicht,2,6,0.1,1.0,0.0,0.1,0.0,0.1,450
7,0,2019,6,Di,13.4,0,Leichtverletzte,Tageslicht,0,5,0.4,0.7,0.0,0.2,0.0,0.2,1227
7,1,2019,9,Mi,13.6,0,Leichtverletzte,Tageslicht,5,2,0.5,0.9,0.0,0.2,0.0,0.1,1331
7,2,2019,1,Di,13.2,1,Leichtverletzte,Tageslicht,2,6,0.2,0.9,0.0,0.1,0.1,0.2,492
7,3,2019,11,Fr,14.1,0,Leichtverletzte,Tageslicht,6,4,0.2,0.7,1.0,0.0,0.0,0.1,626
7,4,2019,6,Di,13.6,0,Leichtverletzte,Tageslicht,2,6,0.2,0.9,0.0,0.2,0.1,0.2,946
8,0,2019,1,Do,14.6,1,Leichtverletzte,Dunkelheit,5,3,0.3,0.9,0.0,0.1,0.0,0.1,890
8,1,2019,8,Mi,13.3,0,Leichtverletzte,Tageslicht,5,3,0.5,0.8,0.0,0.2,0.0,0.2,1159
8,2,2019,1,Di,14.2,0,Leichtverletzte,Tageslicht,6,4,0.1,0.7,1.0,0.1,0.0,0.1,549
8,3,2019,8,Di,13.3,0,Leichtverletzte,Tageslicht,2,6,0.2,0.9,0.0,0.2,0.1,0.2,489
8,4,2019,8,Mi,14.3,0,Leichtverletzte,Tageslicht,1,5,0.6,0.9,0.0,0.1,0.0,0.2,369
9,0,2019,8,Mi,13.3,0,Leichtverletzte,Tageslicht,2,6,0.3,0.7,0.0,0.2,0.0,0.2,1652
9,1,2019,6,Di,13.0,0,Leichtverletzte,Tageslicht,5,3,0.6,0.9,0.0,0.1,0.0,0.1,1355
9,2,2019,12,Di,13.3,0,Leichtverletzte,Tageslicht,6,4,0.1,0.7,1.0,0.0,0.0,0.1,416
10,0,2019,8,Do,12.9,0,Leichtverletzte,Tageslicht,2,6,0.2,0.8,0.0,0.2,0.1,0.2,939
10,1,2019,6,Do,13.2,0,Leichtverletzte,Tageslicht,5,3,0.5,0.9,0.0,0.1,0.0,0.1,1016
10,2,2019,1,Mi,13.5,0,Leichtverletzte,Tageslicht,6,4,0.1,0.8,1.0,0.0,0.0,0.1,342
11,0,2019,6,Do,13.1,0,Leichtverletzte,Tageslicht,5,3,0.6,0.9,0.0,0.1,0.0,0.1,1101
