Feature,H-statistic,p-value
ULICHTVERH,38866.758804207464,0.0
UJAHR,24911.009649520085,0.0
UWOCHENTAG,22892.455601666323,0.0
USTUNDE,21446.593441573263,0.0
YGCSWGS84,17655.3486862423,0.0
XGCSWGS84,14180.020220153796,0.0
UMONAT,13603.067411812537,0.0
USTRZUSTAND,4263.528866959785,0.0
IstFuss,784.8520588126868,3.784315393595252e-164
IstRad,760.4215049370703,6.948985396986731e-159
UTYP1,334.05313064799583,2.2872481041131325e-67
UART,300.89633570616155,2.6539257003412875e-60
UKATEGORIE,225.65102051743148,2.4613432401715376e-44
IstPKW,164.62999532749703,1.7189300516488539e-31
IstKrad,131.5864541954906,1.326494362186958e-24
IstGkfz,121.18542526843724,1.8867007363538e-22
IstSonstige,85.7569965623054,3.3681798137659753e-15
