Cluster A,Cluster B,Feature,p-value
0,1,ULICHTVERH,0.0005856310379181889
0,2,ULICHTVERH,0.0015301665497055997
0,3,ULICHTVERH,0.0
0,4,ULICHTVERH,0.0
0,5,ULICHTVERH,0.0
0,8,ULICHTVERH,5.4154883391188426e-08
1,3,ULICHTVERH,0.0
1,4,ULICHTVERH,0.0
1,5,ULICHTVERH,0.0
2,3,ULICHTVERH,0.0
2,4,ULICHTVERH,0.0
2,5,ULICHTVERH,0.0
3,4,ULICHTVERH,2.6711124196254216e-07
3,5,ULICHTVERH,1.1254405841273613e-36
3,6,ULICHTVERH,0.0
3,7,ULICHTVERH,0.0
3,8,ULICHTVERH,0.0
4,5,ULICHTVERH,6.457335398883093e-07
4,6,ULICHTVERH,0.0
4,7,ULICHTVERH,0.0
4,8,ULICHTVERH,0.0
5,6,ULICHTVERH,0.0
5,7,ULICHTVERH,0.0
5,8,ULICHTVERH,0.0
6,8,ULICHTVERH,0.001686616571179072
0,1,UJAHR,0.0
0,2,UJAHR,0.0
0,3,UJAHR,4.638957798556785e-09
0,6,UJAHR,0.0
0,8,UJAHR,0.0
1,2,UJAHR,0.0
1,3,UJAHR,4.251921351061881e-273
1,4,UJAHR,6.721437447633249e-306
1,5,UJAHR,0.0
1,6,UJAHR,0.0
1,7,UJAHR,0.0
2,3,UJAHR,0.0
2,4,UJAHR,0.0
2,5,UJAHR,0.0
2,7,UJAHR,0.0
2,8,UJAHR,0.0
3,4,UJAHR,1.0206805427456709e-05
3,5,UJAHR,3.340725521090862e-12
3,6,UJAHR,0.0
3,7,UJAHR,7.391748518264964e-13
3,8,UJAHR,4.758645103651259e-305
4,6,UJAHR,0.0
4,8,UJAHR,0.0
5,6,UJAHR,0.0
5,8,UJAHR,0.0
6,7,UJAHR,0.0
6,8,UJAHR,0.0
7,8,UJAHR,0.0
0,1,UWOCHENTAG,0.0
0,2,UWOCHENTAG,0.0
0,5,UWOCHENTAG,0.032169750524738784
0,6,UWOCHENTAG,0.0
0,7,UWOCHENTAG,2.9371503574162574e-05
0,8,UWOCHENTAG,0.0
1,2,UWOCHENTAG,0.0
1,3,UWOCHENTAG,0.0
1,4,UWOCHENTAG,0.0
1,5,UWOCHENTAG,0.0
1,7,UWOCHENTAG,0.0
1,8,UWOCHENTAG,0.0
2,3,UWOCHENTAG,0.0
2,4,UWOCHENTAG,1.7458970725661776e-257
2,5,UWOCHENTAG,0.0
2,6,UWOCHENTAG,0.0
2,7,UWOCHENTAG,2.6083941925846325e-281
3,6,UWOCHENTAG,0.0
3,7,UWOCHENTAG,2.4085284148813726e-09
3,8,UWOCHENTAG,0.0
4,6,UWOCHENTAG,0.0
4,7,UWOCHENTAG,0.0007733318561444686
4,8,UWOCHENTAG,1.1294256191926375e-261
5,6,UWOCHENTAG,0.0
5,7,UWOCHENTAG,2.066445660031237e-14
5,8,UWOCHENTAG,0.0
6,7,UWOCHENTAG,0.0
6,8,UWOCHENTAG,0.0
7,8,UWOCHENTAG,7.379983384489732e-289
0,2,USTUNDE,0.00096492420263124
0,3,USTUNDE,0.0
0,4,USTUNDE,0.0
0,5,USTUNDE,0.0
0,6,USTUNDE,2.018313865970039e-10
1,3,USTUNDE,0.0
1,4,USTUNDE,0.0
1,5,USTUNDE,0.0
1,6,USTUNDE,2.0419917083297953e-07
2,3,USTUNDE,0.0
2,4,USTUNDE,0.0
2,5,USTUNDE,0.0
2,7,USTUNDE,2.9440460094011087e-06
2,8,USTUNDE,0.0004956606071020454
3,4,USTUNDE,0.0
3,5,USTUNDE,0.0246661389081867
3,6,USTUNDE,0.0
3,7,USTUNDE,0.0
3,8,USTUNDE,0.0
4,5,USTUNDE,0.0
4,6,USTUNDE,0.0
4,7,USTUNDE,0.0
4,8,USTUNDE,0.0
5,6,USTUNDE,0.0
5,7,USTUNDE,0.0
5,8,USTUNDE,0.0
6,7,USTUNDE,7.588076811528962e-14
6,8,USTUNDE,1.3975164683066379e-11
0,1,YGCSWGS84,0.0
0,2,YGCSWGS84,0.0
0,3,YGCSWGS84,0.0
0,4,YGCSWGS84,0.0
0,5,YGCSWGS84,0.0
0,6,YGCSWGS84,0.0
0,7,YGCSWGS84,5.505518272385105e-173
0,8,YGCSWGS84,0.0
1,2,YGCSWGS84,0.00012809977922182463
1,3,YGCSWGS84,1.7413281650003735e-64
1,4,YGCSWGS84,1.7257389037063043e-25
1,5,YGCSWGS84,6.883994959820855e-80
1,7,YGCSWGS84,0.0
1,8,YGCSWGS84,3.936707212381217e-05
2,3,YGCSWGS84,3.1962817050881894e-101
2,4,YGCSWGS84,2.822200834917789e-46
2,5,YGCSWGS84,3.2348145299911984e-125
2,6,YGCSWGS84,0.0026041224643692713
2,7,YGCSWGS84,0.0
3,4,YGCSWGS84,0.0007310967223929837
3,6,YGCSWGS84,1.6514674730133953e-65
3,7,YGCSWGS84,0.0
3,8,YGCSWGS84,1.2128446776644705e-105
4,5,YGCSWGS84,3.7329127048938516e-05
4,6,YGCSWGS84,1.098007918813891e-26
4,7,YGCSWGS84,0.0
4,8,YGCSWGS84,3.7776939558311426e-48
5,6,YGCSWGS84,1.6417361718524389e-80
5,7,YGCSWGS84,0.0
5,8,YGCSWGS84,1.8286451698321567e-131
6,7,YGCSWGS84,0.0
6,8,YGCSWGS84,0.0010333491776851151
7,8,YGCSWGS84,0.0
0,1,XGCSWGS84,0.0
0,2,XGCSWGS84,0.0
0,3,XGCSWGS84,0.0
0,4,XGCSWGS84,0.0
0,5,XGCSWGS84,0.0
0,6,XGCSWGS84,0.0
0,7,XGCSWGS84,0.0
0,8,XGCSWGS84,0.0
1,3,XGCSWGS84,1.5501053968374102e-14
1,4,XGCSWGS84,6.111219731267647e-43
1,5,XGCSWGS84,1.3875134230355125e-26
1,7,XGCSWGS84,2.412618844847241e-105
2,3,XGCSWGS84,6.121345812654965e-11
2,4,XGCSWGS84,9.162898790042913e-38
2,5,XGCSWGS84,1.208431078499432e-21
2,7,XGCSWGS84,2.6615765274122997e-124
3,4,XGCSWGS84,3.945898566294149e-08
3,6,XGCSWGS84,6.111849018195959e-07
3,7,XGCSWGS84,1.315294499300455e-159
3,8,XGCSWGS84,2.2317772382309273e-19
4,5,XGCSWGS84,9.683017917920363e-05
4,6,XGCSWGS84,6.545833237061926e-30
4,7,XGCSWGS84,5.342102224001472e-209
4,8,XGCSWGS84,4.523988866036622e-51
5,6,XGCSWGS84,6.7914380829980415e-15
5,7,XGCSWGS84,3.1031082583468603e-211
5,8,XGCSWGS84,1.7432598232609193e-34
6,7,XGCSWGS84,1.45353904085282e-125
6,8,XGCSWGS84,0.003690640904226176
7,8,XGCSWGS84,5.566925514569808e-105
0,3,UMONAT,0.0
0,4,UMONAT,1.103281591269889e-07
0,5,UMONAT,0.0
0,6,UMONAT,0.000185116741560588
0,8,UMONAT,0.00967610788351742
1,2,UMONAT,0.005672615261499912
1,3,UMONAT,0.0
1,4,UMONAT,1.1285601012815924e-12
1,5,UMONAT,0.0
1,6,UMONAT,1.1940980275870785e-09
2,3,UMONAT,0.0
2,4,UMONAT,5.33241174159393e-05
2,5,UMONAT,0.0
2,7,UMONAT,9.997059163112452e-05
2,8,UMONAT,1.8593395541306583e-07
3,4,UMONAT,0.0
3,5,UMONAT,0.0
3,6,UMONAT,0.0
3,7,UMONAT,0.0
3,8,UMONAT,0.0
4,5,UMONAT,0.0
4,7,UMONAT,9.830961478382655e-15
4,8,UMONAT,1.332680463857297e-18
5,6,UMONAT,0.0
5,7,UMONAT,0.0
5,8,UMONAT,0.0
6,7,UMONAT,8.732893378588415e-12
6,8,UMONAT,1.148678989899631e-16
0,1,USTRZUSTAND,0.01952829151507496
0,3,USTRZUSTAND,2.4977693021306307e-235
0,4,USTRZUSTAND,1.4832466736921057e-176
0,5,USTRZUSTAND,3.9208761579839403e-258
0,6,USTRZUSTAND,0.00011023863796999348
0,8,USTRZUSTAND,0.0002545851792164549
1,2,USTRZUSTAND,3.5924149174307465e-08
1,3,USTRZUSTAND,9.681228197059781e-300
1,4,USTRZUSTAND,8.1637628541697e-224
1,5,USTRZUSTAND,0.0
1,6,USTRZUSTAND,1.795390342717305e-15
1,7,USTRZUSTAND,5.134769867183104e-05
2,3,USTRZUSTAND,2.6226215850011644e-232
2,4,USTRZUSTAND,9.107839803527562e-170
2,5,USTRZUSTAND,9.475373069636326e-259
2,8,USTRZUSTAND,5.290680775891225e-12
3,6,USTRZUSTAND,2.0215270020758922e-184
3,7,USTRZUSTAND,7.39624808795065e-208
3,8,USTRZUSTAND,0.0
4,6,USTRZUSTAND,7.215782688217766e-136
4,7,USTRZUSTAND,1.4855508661352614e-156
4,8,USTRZUSTAND,7.534392617021696e-248
5,6,USTRZUSTAND,1.911527946950381e-201
5,7,USTRZUSTAND,7.224631274988923e-226
5,8,USTRZUSTAND,0.0
6,8,USTRZUSTAND,1.2291953932095892e-20
7,8,USTRZUSTAND,1.4825311854795382e-07
0,3,IstFuss,2.102066175651033e-68
0,4,IstFuss,3.745523999754742e-08
0,5,IstFuss,2.0636283879712173e-37
1,2,IstFuss,0.0033329523727720248
1,3,IstFuss,7.04589640993785e-65
1,4,IstFuss,3.784342139031738e-06
1,5,IstFuss,6.881111034616963e-34
2,3,IstFuss,6.102940125928659e-96
2,4,IstFuss,1.3225725860588364e-15
2,5,IstFuss,5.974942696641075e-59
2,8,IstFuss,0.01703916093190577
3,4,IstFuss,6.213537283641605e-19
3,5,IstFuss,1.3384313964078795e-06
3,6,IstFuss,9.374023045496388e-82
3,7,IstFuss,2.9078393446689225e-68
3,8,IstFuss,4.57573184430053e-74
4,5,IstFuss,5.862642873580725e-05
4,6,IstFuss,3.5131432119432024e-12
4,7,IstFuss,9.358778410615963e-09
4,8,IstFuss,9.78600281958328e-08
5,6,IstFuss,5.699840076966538e-48
5,7,IstFuss,9.012259707100394e-38
5,8,IstFuss,2.350017295097584e-40
0,2,IstRad,0.004267019783232017
0,3,IstRad,1.9406896290717204e-31
0,4,IstRad,2.7466000986765144e-37
0,5,IstRad,8.430075761289386e-33
0,7,IstRad,3.518690761556904e-08
1,2,IstRad,0.00037449506844075336
1,3,IstRad,7.009736980111327e-32
1,4,IstRad,1.0993457909244823e-37
1,5,IstRad,1.5397335504859692e-33
1,7,IstRad,6.765174890801932e-08
2,3,IstRad,8.614477827198025e-57
2,4,IstRad,2.759847043739131e-61
2,5,IstRad,7.380131385414282e-62
2,7,IstRad,4.3413754881686873e-23
3,6,IstRad,1.2787595991586577e-43
3,7,IstRad,3.467174583208619e-08
3,8,IstRad,2.5574691886767976e-43
4,6,IstRad,4.470401468088051e-49
4,7,IstRad,4.0653605946934014e-13
4,8,IstRad,1.451737371368153e-48
5,6,IstRad,1.936325889708444e-46
5,7,IstRad,1.271759634348936e-07
5,8,IstRad,8.489862722985994e-47
6,7,IstRad,3.0722588157654674e-15
7,8,IstRad,6.988872797108838e-14
0,1,UTYP1,3.2578176715746223e-10
0,2,UTYP1,5.713953963092297e-05
0,4,UTYP1,3.897971499036812e-23
0,6,UTYP1,3.315849246579796e-05
0,7,UTYP1,0.000474168519370661
0,8,UTYP1,4.7547432580917934e-08
1,3,UTYP1,0.0002944751564985855
1,4,UTYP1,1.0418230732166456e-56
1,5,UTYP1,7.167013669414161e-05
2,4,UTYP1,1.0738312764988995e-46
3,4,UTYP1,1.1027435249017833e-26
3,8,UTYP1,0.008985453610498744
4,5,UTYP1,4.876252940881296e-30
4,6,UTYP1,1.7861312881079464e-45
4,7,UTYP1,3.5166689690300176e-41
4,8,UTYP1,3.868092584866548e-54
5,8,UTYP1,0.003286340028345189
0,1,UART,1.1857172967670463e-06
0,2,UART,9.893571512211177e-12
0,3,UART,1.0407482204693722e-07
0,6,UART,1.8145595851986926e-11
0,7,UART,3.6877891891840305e-08
0,8,UART,1.477954932694014e-08
1,3,UART,2.9420970558708545e-27
1,4,UART,1.1482289479120173e-05
1,5,UART,3.331428296958885e-06
2,3,UART,3.0283406211087476e-36
2,4,UART,2.5447953029053585e-09
2,5,UART,5.14486032681743e-11
3,4,UART,0.00027268703741345404
3,5,UART,1.0780158623469518e-07
3,6,UART,8.988549208965978e-35
3,7,UART,1.4975441426106607e-28
3,8,UART,1.6073528521798992e-31
4,6,UART,2.344262548341212e-09
4,7,UART,5.308965206336785e-07
4,8,UART,6.13868014144782e-07
5,6,UART,8.140747111091837e-11
5,7,UART,1.0948190518777269e-07
5,8,UART,5.604020538912447e-08
0,1,UKATEGORIE,4.3179821288409084e-06
0,2,UKATEGORIE,1.4365713805342617e-05
0,4,UKATEGORIE,1.2504148544823717e-06
0,6,UKATEGORIE,2.57258582174671e-08
0,8,UKATEGORIE,1.6958546776864923e-07
1,3,UKATEGORIE,1.5101878499140977e-08
1,4,UKATEGORIE,6.965234088898489e-22
1,5,UKATEGORIE,0.0017411525103735626
1,7,UKATEGORIE,1.527989673528956e-07
2,3,UKATEGORIE,5.1170969913891014e-08
2,4,UKATEGORIE,2.3305783315754932e-21
2,5,UKATEGORIE,0.0050194539807438595
2,7,UKATEGORIE,5.21721049726257e-07
3,4,UKATEGORIE,0.0025344755604345503
3,6,UKATEGORIE,7.497726131410722e-11
3,8,UKATEGORIE,4.748332571427016e-10
4,5,UKATEGORIE,7.267710556878414e-09
4,6,UKATEGORIE,7.331904590375683e-25
4,7,UKATEGORIE,4.725682609656145e-05
4,8,UKATEGORIE,2.1899180541661876e-24
5,6,UKATEGORIE,2.7091107416077205e-05
5,8,UKATEGORIE,0.00018850401885289007
6,7,UKATEGORIE,6.943544992597147e-10
7,8,UKATEGORIE,4.301870263889277e-09
0,2,IstPKW,7.151329994010273e-06
0,3,IstPKW,0.0017085204938742694
0,4,IstPKW,1.598271758235879e-08
1,2,IstPKW,0.008684489283028245
1,3,IstPKW,4.3537971369863096e-07
1,4,IstPKW,1.4755614050323096e-05
1,7,IstPKW,0.0056623242834385025
2,3,IstPKW,9.715551139351966e-18
2,5,IstPKW,5.735649135062461e-09
2,7,IstPKW,1.2057657534625491e-11
3,4,IstPKW,5.242002217318007e-19
3,6,IstPKW,5.473962646711735e-09
3,8,IstPKW,1.0636890789712774e-09
4,5,IstPKW,2.6424782867258375e-11
4,6,IstPKW,0.0007622091956418907
4,7,IstPKW,1.2835731026301613e-13
4,8,IstPKW,0.00017819288321313683
5,6,IstPKW,0.007862453983153503
5,8,IstPKW,0.004951677641348173
6,7,IstPKW,0.00017733994066941106
7,8,IstPKW,7.723630533582004e-05
0,1,IstKrad,1.898100177620137e-05
0,2,IstKrad,1.4040178129462009e-06
0,5,IstKrad,0.00380782258672634
0,6,IstKrad,0.004436051396146999
0,7,IstKrad,2.272060284639648e-05
0,8,IstKrad,5.197396645941438e-07
1,3,IstKrad,3.1642229262037324e-13
1,4,IstKrad,0.00047731944326899673
2,3,IstKrad,6.4567855002399855e-15
2,4,IstKrad,8.901532351170291e-05
3,5,IstKrad,1.36730411476828e-09
3,6,IstKrad,1.0979296245817732e-09
3,7,IstKrad,1.0284036583636997e-12
3,8,IstKrad,1.3008393284691243e-15
4,5,IstKrad,0.018275898083015267
4,6,IstKrad,0.02271432367984807
4,7,IstKrad,0.00038477737456646714
4,8,IstKrad,5.138587965393582e-05
0,3,IstGkfz,3.7210982230826e-07
0,5,IstGkfz,2.839203917833861e-07
1,3,IstGkfz,1.5798473214952483e-08
1,5,IstGkfz,7.84913404176742e-09
2,3,IstGkfz,2.597833830585648e-07
2,5,IstGkfz,1.573986405406121e-07
3,4,IstGkfz,1.746330529033082e-06
3,6,IstGkfz,0.005042660489335451
3,7,IstGkfz,1.1385980450251696e-10
3,8,IstGkfz,3.734244654023553e-11
4,5,IstGkfz,2.1524369657821092e-06
5,6,IstGkfz,0.007606720548268917
5,7,IstGkfz,4.535221528623702e-11
5,8,IstGkfz,7.436449136650135e-12
6,7,IstGkfz,0.009181280921240674
6,8,IstGkfz,0.015605286551383437
0,3,IstSonstige,1.692523643053506e-05
0,4,IstSonstige,0.0029492793273824015
1,3,IstSonstige,0.0002943966119257638
1,4,IstSonstige,8.562689468901467e-05
2,3,IstSonstige,2.162281929118733e-10
